ISBN	Precio
0006860249	4,39
0060778970	14,63
0099448599	10,64
0099448629	10,68
0099453959	11,04
0099453967	10,64
0099533111	
0140224327	7,98
0140288708	5,08
0140440100	
0140442480	13,59
0140449094	15,58
0141029722	12,14
0141182253	
0141182598	8,32
0141399511	10,80
0143104829	12,63
0151005346	14,61
0192741829	19,81
019516671X	49,57
0195383168	46,11
0198306156	9,71
019871517X	51,51
0198778538	32,54
0199123446	0,78
0199593558	31,03
0199641811	49,85
0199651337	89,75
0217106633	28,93
023114475X	24,77
023116842X	49,08
0231175965	17,97
0231177410	14,57
0233978402	81,00
024114602X	12,63
0241189241	23,28
0241189438	22,83
0241203414	13,50
0241204224	9,00
0241207398	23,20
0241208734	21,75
0241954290	
0241969603	6,79
024197352X	8,35
0241980089	6,79
0262024187	18,44
0262029855	28,66
0262034247	20,09
0262034891	20,40
0262515067	16,51
0262527340	27,00
0262527405	23,81
0262528827	34,50
0262530201	7,26
0262530708	
026253097X	53,93
0297852469	
0297852493	34,63
0300198647	15,54
0304304662	8,40
031334339X	295,46
0330413147	
0333684095	4,33
0393028127	14,93
0393315096	13,10
0394721861	
0413774759	23,30
0415099943	
0415153131	45,47
0415167914	25,97
0415206634	44,42
0415263530	59,37
0452296501	8,90
0452297303	11,30
0465056741	20,80
0471526266	98,90
0471679526	11,93
0486420922	
0486424731	
0486451526	17,24
0495912654	99,94
0500010935	13,05
0521115582	38,70
0521144655	29,69
0521410355	28,52
0521663873	31,11
0521764580	85,98
0521778158	31,11
0521855780	
0534576400	14,49
0543825124	18,71
0543825140	18,71
0554075105	23,32
055407527X	23,32
0554075458	23,32
0554075547	23,32
0554081636	23,32
0554081644	23,32
0554081792	23,32
055408189X	23,32
0559052049	22,14
0559052111	
0571288510	17,75
0571288529	9,22
0571331580	12,10
0615615791	10,91
0618222073	
063113106X	8,15
0631166211	17,80
0631195564	2,95
0631200215	33,91
0670019119	
0674276701	13,98
0691157804	44,51
0710004389	2,95
0710200234	29,99
071367587X	14,57
0714544469	11,66
0714846031	27,64
0719044138	17,97
0719082307	18,63
072930020X	
0729302156	
074533234X	18,46
0745335489	17,97
0745649904	21,86
074569621X	20,40
0752441213	18,91
0753810255	14,65
0753820870	10,68
075382101X	1,39
0753821192	10,19
0753824337	10,68
0753826933	10,19
0753828626	12,25
0753829282	11,66
0754640876	116,69
075669597X	12,79
0783811837	47,95
0801815452	14,53
0801852420	39,07
0805082840	17,48
0807005223	
0812060202	75,00
0812222156	15,54
0816188254	84,77
0822004151	3,65
0822322188	25,91
0822331977	27,70
0826496563	23,87
0826514707	23,32
0828868964	
0851242480	22,05
0851247903	7,96
0851248098	6,79
0856684937	
0860916855	
0872209709	14,68
0883450577	14,50
0887845746	18,47
0893817767	36,86
0896081001	14,50
0896083063	22,83
089608695X	2,46
0919473539	15,29
0921586248	21,21
0935568468	62,29
0936388560	34,72
0938972189	115,00
0942566262	
0948230231	1,78
0948230568	
0973169818	104,84
0992245338	22,69
1104001527	31,12
1107667895	
111183914X	64,00
1115056808	23,03
1137000678	34,01
1137367067	38,09
1138206709	101,70
1138938653	86,22
1141105578	32,59
1141463261	
1142155870	
1142545679	
1142808629	
1143796233	25,07
114455845X	39,84
1145071147	
1147558620	28,17
1149359463	
1149748524	
1150811196	18,18
1154852962	11,67
1154852970	31,10
1162960043	33,92
116317596X	25,71
116318666X	15,81
1167251792	37,71
1171916035	
1171926936	
1171960913	
1171962525	
1173180559	23,82
1179416678	
1235080714	
1235397602	18,09
1245162799	
1245833162	20,05
1246001799	
124630354X	17,46
124694278X	28,55
1247691721	18,80
1258766078	42,17
1271899922	
1272421112	18,80
1272533530	
1272626334	
1273017560	
1273798325	
1275197248	
1276917635	
1277130337	
1277805180	30,12
1278200096	34,99
1278442812	24,92
1279174994	27,06
1279738766	33,52
1287549551	19,57
1293194549	22,36
1294280953	20,09
1296221849	19,88
1297134788	21,00
129732823X	10,87
1297414284	10,90
1329977912	
1329988167	14,25
1330731867	16,62
1330776380	17,49
1332573967	14,78
1333188706	
133323452X	11,37
1333632843	10,20
1333652216	10,69
1333709617	20,80
1346305560	30,67
1346322732	30,04
1360746617	
1360746641	
1361471344	
1365097161	
1372033181	
137288534X	17,50
1403917299	31,19
1405000996	0,01
1405110457	3,64
1405345829	11,46
