uid	scrname	full name	join date	ccard	expiration
12	jack	Jack Dorsey	2006-03-21 21:50:14	7951193427772799	2020-4-27
20	ev	Evan Williams	2006-03-21 22:02:31	9683756189318621	2019-5-25
633	zephoria	danah boyd	2006-07-13 23:27:23	3349258749876911	2022-10-8
2426	Mike_FTW	Mike MonTERROR	2006-07-18 23:14:20	6252774466665577	2019-1-21
3051	da5ide	Davide Agnelli	2006-07-25 23:39:42	6718442764296187	2019-10-3
3475	davemorin	Dave Morin	2006-07-31 08:11:19	1522112149783493	2017-10-16
3476	brit	Brit Morin	2006-07-31 08:15:03	4892687181742856	2022-1-8
5017	joshu	joshua schachter	2006-08-30 06:23:04	7394726184454127	2019-11-23
10191	Frauenfelder	Mark Frauenfelder	2006-10-24 01:04:26	7282772516621723	2020-2-15
10203	julien	Julien Smith	2006-10-24 05:33:58	8313693149787383	2021-3-17
10367	copyblogger	Brian Clark	2006-10-24 19:14:00	5576858315493594	2018-8-11
10519	communicatrix	Colleen Wainwright	2006-10-26 02:28:22	9198387246765899	2021-2-18
11900	bre	Bre Pettis	2006-11-09 06:38:46	1885272541461516	2018-2-27
12528	jw	Josh Williams	2006-11-15 16:40:41	7967451619893571	2018-11-20
12741	danrubin	Dan Rubin	2006-11-16 20:06:06	7358989871925194	2022-12-4
12830	boagworld	Paul Boag	2006-11-17 13:37:04	4883786832788766	2019-10-13
12831	mikeyk	Mike Krieger	2006-11-17 13:39:47	9774746475517143	2019-7-22
13116	cityofsound	Dan Hill	2006-11-19 19:29:17	8775378169724999	2019-10-12
14763	ryancarson	Ryan Carson	2006-11-22 12:35:48	9466329197253893	2021-6-10
25993	jcroft	Jeff Croft	2006-11-28 02:21:40	7781765287283976	2017-3-30
30923	rands	rands	2006-11-29 20:16:11	2132554914165261	2021-8-21
33423	gruber	John Gruber	2006-12-01 03:52:40	8889595978612898	2019-5-19
34713	gmh	Graham Hicks	2006-12-01 23:16:41	4112157568976879	2018-2-25
36823	anildash	Anil Dash	2006-12-02 10:15:15	8176328611338475	2020-6-12
43593	mbostock	C0ünT Bø5?ck?la	2006-12-05 22:57:30	4464898195391523	2022-8-27
49793	jimmy_wales	Jimmy Wales	2006-12-08 06:17:11	1873551149814847	2020-6-24
55993	xdamman	Xavier Damman	2006-12-10 22:40:41	3145562347336161	2021-11-14
72023	chrisntr	Chris Hardy	2006-12-15 21:12:53	2149368485716439	2018-12-1
89673	JoeF	Joe Fahrner	2006-12-21 01:36:25	1367486619913992	2019-6-20
97933	jzawodn	Jeremy Zawodny	2006-12-21 06:47:54	4757836554131727	2017-1-30
113963	Werner	Werner Vogels	2006-12-21 16:12:02	4683746582222686	2018-5-16
118203	eoghanmccabe	Eoghan McCabe	2006-12-21 17:29:33	1824493684658137	2017-10-26
141133	jofish	jofish	2006-12-22 01:13:03	4852251897134465	2018-2-17
325503	purplelime	Sam	2006-12-28 20:27:31	7447747222232556	2019-2-12
532923	mathias	Mathias Bynens	2007-01-04 12:37:32	4354449825492815	2018-1-3
