Irene Poza Garau|4579 1165 7919 4384|08/10|05/14|305|
Emiliano Cozar Locke|6496 3318 3339 9724|04/10|07/13|689|
Jack Martinez Pelaez|1725 7286 0489 3263|07/09|03/14|718|
Petra Linus Coll|5804 7661 8556 1810|11/10|04/14|928|
Kate Torres San Martin|3703 9193 7960 4795|10/10|01/14|100|
Luis Moreno Lopez|2039 6424 7433 0841|08/09|05/14|411|
Sofia Moss Poza|2641 2366 4022 9561|04/09|11/13|929|
Eva Reyes Martinez|8183 1447 8251 7421|06/09|10/14|768|
John San Martin Marques|0077 1888 0446 8810|07/09|07/14|151|
Luisa Moreno Ribas|9099 3896 6046 2626|10/10|05/14|113|
Pedro Linus Ribas|5782 6623 4015 7034|11/10|05/13|834|
Jose Pelaez Pomares|1348 0911 3414 8006|02/09|09/14|731|
Gabriel Torres Coll|3075 0497 3140 9104|09/10|10/14|481|
Sofia Marques Marques|6445 5256 3804 2776|08/09|01/14|599|
Jack Moss Reyes|8661 1288 6707 5926|03/09|10/14|261|
Hugo San Martin Marques|4636 1672 3421 4879|11/09|09/14|062|
Camilo Ribas Coll|7716 5723 4439 2033|09/09|09/14|429|
Alberto Garau Moreno|2040 1146 1977 8420|09/09|03/14|889|
Clodoveo Poza Narvaez|1675 4451 2304 4156|01/10|03/14|786|
Randall Moss San Martin|6133 2060 7110 6597|04/09|10/14|941|
Randall Lobo Pelaez|7326 2207 2052 9442|08/09|06/13|390|
Enjuto Garau Lopez|3392 5426 4378 1735|02/09|07/14|894|
Benjamin Moreno Martinez|3550 1972 2232 3092|09/10|07/13|157|
Hugo Lobo Sparrow|5933 0091 5306 8815|06/09|01/14|362|
Hugo Moss Garau|4729 1327 0222 7175|09/10|03/13|761|
Alfredo Martinez Mas|2108 1552 5418 6724|08/10|08/13|005|
Enjuto Gonzalez Cozar|3488 5224 1404 9522|04/09|03/14|910|
Hugo Mojamuto Torres|9233 2326 4930 9558|01/09|02/14|699|
Restituta San Martin Marques|9389 8206 7067 4451|02/10|09/14|407|
Kate Morales Mojamuto|3100 0276 2348 9183|03/09|05/13|287|
Emiliano Torres Ribera|4289 1015 8802 2368|07/09|08/14|886|
Hugo Locke Narvaez|8990 8514 3287 3813|07/09|07/14|757|
